,price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,living_area_ratio,average_room,highness,ВАО,ЗАО,САО,СВАО,СЗАО,ЦАО,ЮАО,ЮВАО,ЮЗАО
1452,23500000.0,3.2188758248682006,4.198704577546343,3.3603753871419,2.833213344056216,3.5263605246161616,7.6128310304073565,0.0,0.0,3.035314937012598,2.0,0.4237804878048781,13.9,0.45454545454545453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1453,15500000.0,1.3862943611198906,3.817712325956905,3.8310215329737995,1.791759469228055,2.302585092994046,7.587310506022615,0.0,0.0,2.64,2.0,1.0136992511882006,22.554808338937463,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1454,40000000.0,1.791759469228055,4.037774210733707,3.8310215329737995,2.302585092994046,2.302585092994046,7.578145472419466,0.0,0.0,2.95,2.0,0.8098674448451512,22.554808338937463,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1455,78900000.0,2.4849066497880004,4.110873864173311,3.56953269648137,1.791759469228055,2.1972245773362196,7.61085279039525,0.0,1.0,3.035314937012598,2.0,0.575,17.25,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1456,45000000.0,1.791759469228055,4.2626798770413155,3.8310215329737995,2.6390573296152584,2.6390573296152584,7.603008336866771,0.0,0.0,3.0,2.0,0.6444230953982132,22.554808338937463,0.9230769230769231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1457,12100000.0,1.9459101490553132,4.160444363926624,3.8310215329737995,2.1972245773362196,3.1354942159291497,7.611842399580417,0.0,0.0,2.8,2.0,0.714890914070918,22.554808338937463,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1458,21500000.0,2.3978952727983707,4.378269585796169,3.8310215329737995,2.1972245773362196,2.0794415416798357,7.580699752224563,0.0,0.0,3.035314937012598,2.0,0.5731844558815111,22.554808338937463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1459,20700000.0,2.3978952727983707,3.8918202981106265,2.9444389791664403,2.70805020110221,3.1780538303479458,7.610357618312838,0.0,0.0,3.0,2.0,0.375,9.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1460,40600000.0,2.1972245773362196,4.23410650459726,3.713572066704308,2.4849066497880004,2.4849066497880004,7.603008336866771,0.0,0.0,5.15,2.0,0.5882352941176471,20.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1461,23499000.0,2.70805020110221,3.9318256327243257,3.8310215329737995,1.791759469228055,3.367295829986474,7.61085279039525,0.0,1.0,3.0,2.0,0.9021923335574985,22.554808338937463,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
